title,Description,Room Categories,Item Categories,Item Attributes,Price,Sku,URL,Image URLs,Brand,Color,Retailer,Width,Height,Depth
"Tassio - 1-Drawer Nightstand, Nordik Oak* D","A SLIDING DRAWER: this nightstand's drawer is mounted on solid metal slides, it will never get jammed!LIKE A DAY IN THE COUNTRY: the aged wood finish and antique style metal handle give this night stand a look inspired by a beautiful country house.WITHIN EASY REACH: this furniture's surface and open space will allow you to keep your favorite books, and anything else you need when relaxing, near at hand.5-YEAR LIMITED WARRANTY: South Shore is proud to stand behind this 1-drawer nightstand with open storage space with an exclusive 5-year limited warranty. Shop with confidence knowing your purchase is always covered.EASY ASSEMBLY INSTRUCTIONS: All products come with a clear assembly document that will guide you through all steps. If you have any questions during the assembly do not hesitate to contact South Shore Furniture for immediate support.This item it shipped in 1 boxClean with a dry cloth",Bedroom Furniture,Nightstands,Composite,129,13124,https://www.afw.com/tassio-1-drawer-nightstand-nordik-oak-d,"https://images.afw.com/images/thumbs/0156233_13124_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156237_13124_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156239_13124_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156234_13124_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156230_13124_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156229_13124_4.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156232_13124_5.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156231_13124_6.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156235_13124_7.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156238_13124_8.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156236_13124_9.jpg_100.jpeg",American Furniture Warehouse,Light Wood,afw.com,17.75,25,17
Ashbury Batik Bean Bag,Ashbury Batik Bean Bag by American Furniture Alliance.Filled with Pearl Beads and features a double locking safety zipper.Covered in a soft yet durable polyester material.Great portable lightweight chair.,,Great Gifts Under $150,Mixed Media,25,16475,https://www.afw.com/ashbury-batik-bean-bag,"https://images.afw.com/images/thumbs/0112820_ashbury-batik-bean-bag_100.jpeg,https://images.afw.com/images/thumbs/0112821_ashbury-batik-bean-bag_100.jpeg",American Furniture Warehouse,Multi-Color Fabric/Material,afw.com,32,42,30
"Lynnhaven Nightstand, Black w/ White Marble Top *D","Stunning and sophisticated faux marble steals the show with the Lynnhaven Nightstand by Ameriwood HomeMade from painted MDF and laminated MDF in faux marbleOne convenient drawer with durable metal slidesTapered legs and elongated hardware meld modern with traditional eleganceThe Nightstand ships flat in one box. Assembly is required. Two adults are recommended to assemble. Once assembled, the Nightstand measures to be 23.6” W x 15.1” D x 28” HEasy assembly.1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,209,6781872,https://www.afw.com/lynnhaven-nightstand-black-w-white-marble-top,"https://images.afw.com/images/thumbs/0173006_6781872COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173007_6781872COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173008_6781872COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173009_6781872COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173010_6781872COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173011_6781872COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173012_6781872COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173013_6781872COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173014_6781872COM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173015_6781872COM_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173016_6781872COM_10.jpg_100.jpeg",American Furniture Warehouse,Gray,afw.com,23.6,28,15.1
"Gravity - 2-Drawer Nightstand, Gray Maple *D","OPEN AND CLOSED STORAGE: What makes this nightstand so amazing? The well thought out storage spaces. The open space can be useful for keeping some items – like a book or a cell phone – close at hand… and you can use the two drawers to store light clothing and accessories.METAL SLIDES: the two drawers of this nightstand are mounted on metal slides, for increased sturdiness and quiet use.VERSATILE: this side table works in many rooms. Wherever you put it – the living room, the bedroom, or even the basement – it’ll meet your needs.CONTEMPORARY STYLE: add a stylish and clean touch to your decor with this nightstand, which will stand out by its thin handles and squared legs.5-YEAR LIMITED WARRANTY: South Shore is proud to stand behind this 2-drawer nightstand - end table with storage with an exclusive 5-year limited warranty. Shop with confidence knowing your purchase is always covered.EASY ASSEMBLY INSTRUCTIONS: All products come with a clear assembly document that will guide you through all steps. If you have any questions during the assembly do not hesitate to contact South Shore Furniture for immediate support.This item it shipped in 1 boxClean with a dry cloth",Bedroom Furniture,Nightstands,,189,9036060-SS,https://www.afw.com/gravity-2-drawer-nightstand-gray-maple-d,"https://images.afw.com/images/thumbs/0161697_9036060_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161704_9036060_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161702_9036060_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161698_9036060_4.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161707_9036060_5.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161699_9036060_6.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161701_9036060_7.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161703_9036060_8.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161700_9036060_9.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161706_9036060_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0161705_9036060_11.jpg_100.jpeg",American Furniture Warehouse,Gray,afw.com,21.75,22.75,17
"Gravity - 2-Drawer Nightstand, Rubbed Black* D","OPEN AND CLOSED STORAGE: What makes this nightstand so amazing? The well thought out storage spaces. The open space can be useful for keeping some items – like a book or a cell phone – close at hand… and you can use the two drawers to store light clothing and accessories.METAL SLIDES: the two drawers of this nightstand are mounted on metal slides, for increased sturdiness and quiet use.VERSATILE: this side table works in many rooms. Wherever you put it – the living room, the bedroom, or even the basement – it’ll meet your needs.CONTEMPORARY STYLE: add a stylish and clean touch to your decor with this nightstand, which will stand out by its thin handles and squared legs.5-YEAR LIMITED WARRANTY: South Shore is proud to stand behind this 2-drawer nightstand with an exclusive 5-year limited warranty. Shop with confidence knowing your purchase is always covered.EASY ASSEMBLY INSTRUCTIONS: All products come with a clear assembly document that will guide you through all steps. If you have any questions during the assembly do not hesitate to contact South Shore Furniture for immediate support.This item it shipped in 1 boxWipe with a dry cloth",Bedroom Furniture,Nightstands,Composite,189,13559,https://www.afw.com/gravity-2-drawer-nightstand-rubbed-black-d,"https://images.afw.com/images/thumbs/0157493_13559_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157498_13559_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157501_13559_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157503_13559_12.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157500_13559_13.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157502_13559_14.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157491_13559_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157494_13559_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157492_13559_4.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157490_13559_5.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157495_13559_6.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157497_13559_7.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157499_13559_8.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157496_13559_9.jpg_100.jpeg",American Furniture Warehouse,Dark Wood,afw.com,21.75,22.75,17
Seaside Pine Changing Table With Station,"Seaside Pine Changing Table With Station by South Shore. Metal Knobs.  The Right-Hand Section Of The Table Top Is Large Enough To Hold Jars Of Cream, Wipes, And Stuffed Toys.  Behind The Door Are 2 Sliding Shelves That Can Support Up To 15 Lb.  Features 3 Practical Drawers.  Rounded Contours And A Secure Front Panel For Increased Safety.  Metal Drawer Slides.  Can Support A Total Weight Of Up 30 Lb.  Meets Or Exceeds All North American Safety Standards.  Changing Pad And Accessories Not Included.  Requires Complete Assembly By 2 Adults .  Ships In 2 Boxes, Make Sure To Have A Friend With You.  Packaging Tested And Certified To Reduce The Risk Of Damage During Shipment.  Furniture Made In North America With Non-Toxic Laminated Particleboard, Basket Made In China .  5-Year Limited Guarantee.",Bedroom Furniture,Kids Bedroom Furniture,,409,12672,https://www.afw.com/seaside-pine-changing-table-with-station,,American Furniture Warehouse,White,afw.com,45.75,38.75,19.5
"Lynnhaven Nightstand, White w/ White Marble Top *D","Stunning and sophisticated faux marble steals the show with the Lynnhaven Nightstand by Ameriwood HomeMade from painted MDF and laminated MDF in faux marbleOne convenient drawer with durable metal slidesTapered legs and elongated hardware meld modern with traditional eleganceThe Nightstand ships flat in one box. Assembly is required. Two adults are recommended to assemble. Once assembled, the Nightstand measures to be 23.6” W x 15.1” D x 28” HEasy assembly.1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,209,6781013,https://www.afw.com/lynnhaven-nightstand-white-w-white-marble-top,"https://images.afw.com/images/thumbs/0173017_6781013COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173018_6781013COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173019_6781013COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173020_6781013COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173021_6781013COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173022_6781013COM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173023_6781013COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173024_6781013COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173025_6781013COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173026_6781013COM_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173027_6781013COM_10.jpg_100.jpeg",American Furniture Warehouse,White,afw.com,23.6,28,15.1
"Angel - Crib With Toddler Rail, Chocolate *D","Espresso Crib With Toddler Rail by South Shore. Sweet Classic Style Meets Safety.  Rounded Moldings And Full Side Panels Give This Adorable Crib A Vintage, Arts And Crafts Feel That Can Blend With Any Decor.  This Product Will Be Perfect In Your Little Angel's Nursery.  Meets Astm F1169 Standards, So Your Baby Will Sleep Soundly And Safely.  .  Adjustable Mattress Height.  Three Different Height Settings For The Mattress (Not Included) Let You Keep Your Baby Within Reach - Then Adjust The Mattress Lower As Your Baby Gets Older And More Adventurous.  Transitional Toddler Bed.  Once Your Baby Has Become A Toddler And No Longer Needs A Crib, It Transitions To A Full Toddler Bed With The Included Toddler Side Panel, So You Won't Have To Buy A New Bed For Your Baby For Years To Come.  .  Pair With Other South Shore Furniture.  Build A Nursery You And Your Baby Will Love.  This Crib And Toddler Bed Fits Perfectly With Other South Shore Nursery Collections For A Stunning Nursery.  .  Can Be Combined With The Baby Crib & Toddler Mattress (100234).  Metal Base .  Meets Or Exceeds All North American Safety Standards.  Mattress And Accessories Not Included.  Requires Complete Assembly By 2 Adults (Tools Not Included).  Ships In A Heavy Box, Make Sure To Have A Friend With You.  Packaging Tested And Certified To Reduce The Risk Of Damage During Shipment.  Made In China.  1-Year Limited Guarantee.  Some assembly may be required.",Bedroom Furniture,Kids Bedroom Furniture,,309,3559350,https://www.afw.com/espresso-crib-with-toddler-rail,,American Furniture Warehouse,Brown/Espresso,afw.com,29.5,37.5,54.5
Full Panel Bed,"Complete bed includes frame, headboard, footboard, and slats. Constructed of Pine. Driftwood gray finish. Stain can easily be touched up or refinished with Minwax Classic Gray #271 stain. Customer assembly required if not delivered by AFW. Made in the U.S.A.",Bedroom Furniture,Kids Bedroom Furniture,Wood,348,DW-4128FPBED,https://www.afw.com/full-panel-bed,"https://images.afw.com/images/thumbs/0146725_DW-4128FPBED_2b4c8_100.jpeg,https://images.afw.com/images/thumbs/0146726_twin-panel-bed_100.jpeg",American Furniture Warehouse,Gray,afw.com,,,
Willowton Twin Panel Headboard,"Willowton Twin Panel Headboard by Ashley.Constructed of engineered wood products with laminate finish.Two-tone laminate finish replicates white wash and a worn-through paint finish with authentic touch.Mattress, bed frame and foundation/box spring sold separately.",Augmented Reality,Furniture,,138,B267-53,https://www.afw.com/willowton-twin-panel-headboard,"https://images.afw.com/images/thumbs/0081215_0081215_willowton-twin-panel-headboard.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0081222_0081222_willowton-twin-panel-headboard.jpeg_100.jpeg",American Furniture Warehouse,Natural,afw.com,42,54,4
