title,Description,Room Categories,Item Categories,Item Attributes,Price,Sku,URL,Image URLs,Brand,Color,Retailer,Width,Height,Depth
Norcastle Cocktail,Norcastle Cocktail Table by AshleyDark brown finish on select birch veneers and hardwood solidsCast filigree under clear beveled float glassShapely legs and stretchers,Augmented Reality,Furniture,Wood,298,T499-0,https://www.afw.com/norcastle-cocktail,,American Furniture Warehouse,Dark Wood,afw.com,48,20.25,34
Clifton I Twin Over Twin Bunk Bed,Clifton Twin over Twin bunk bed by CondorAll metal constructionBlack and silver powder coat finishMattress support system requires no bunkie boardsFully welded fram constructionMattress not includedEasy assembly,Bedroom Furniture,Kids Bedroom Furniture,Metal,248,1004-64,https://www.afw.com/clifton-i-twin-over-twin-bunk-bed,,American Furniture Warehouse,Silver,afw.com,79,66.5,42
Windham Cocktail Table,Windham Cocktail Table from Sunny Designs. Constructed of mahogany solids and veneers. Buckskin finish top with white wash base. Some assembly is required if not delivered by AFW.,Living Room Furniture,Coffee / Side / Accent Tables,,348,3170C,https://www.afw.com/windham-cocktail-table,"https://images.afw.com/images/thumbs/0176652_3170C.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176639_SUNNY-3170-FAC.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176648_SUNNY-3170-ALT-FAC.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176651_3170C_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176642_3170CS_2.jpg_100.jpeg",American Furniture Warehouse,Beige/Taupe,afw.com,50,19,26
Santa Fe End Table,SANTA FE END TABLE FROM SUNNY DESIGNS. CONSTRUCTED OF BIRCH SOLIDS AND VENEER CONSTRUCTION. BURNISHED DARK CHOCOLATE FINISH. GENUINE NATURAL SLATE INSERTS. SOME ASSEMBLY REQUIRED IF NOT DELIVERED BY AFW.,Living Room Furniture,Coffee / Side / Accent Tables,Wood,148,3175DC2-E,https://www.afw.com/santa-fe-end-table-2,"https://images.afw.com/images/thumbs/0154595_3175DC2-E.jpg_100.jpeg,https://images.afw.com/images/thumbs/0154652_3175DC2-E_5fbd3_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,25,25,25
Paradigm Sofa Table with 3 Stools,"Paradigm Sofa Table with 3 Stools from Riverside Furniture. Constructed of poplar solids and acacia wood and veneers. Metal framework and stretchers. Includes three 24"" barstools. Some assembly is required if not delivered by AFW.",Living Room Furniture,Coffee / Side / Accent Tables,,398,37116,https://www.afw.com/paradigm-sofa-table-with-3-stools,"https://images.afw.com/images/thumbs/0164451_37116.jpg_100.jpeg,https://images.afw.com/images/thumbs/0164448_37109_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0164447_37102_1.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,72,30,20
Yukon Round Cocktail Table,Yukon Round Cocktail Table by Magnussen HomeConstructed of pine solids and veneersRich distressed bourbon finishLower shelf for addtional storage or displayAged iron accentsTable is on casters for easy mobilityAssembly required if not delivered by AFW.,Living Room Furniture,Coffee / Side / Accent Tables,Wood,298,T4405-45,https://www.afw.com/yukon-round-cocktail-table-2,"https://images.afw.com/images/thumbs/0089197_T4405-45_5cba5_100.jpeg,https://images.afw.com/images/thumbs/0089200_T4405-45_832bd_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,40,18.5,40
Reese Cocktail Table,Reese Cocktail Table from Lane Home Furnishings.Constructed of pine veneers with wire brush distressing.Rustic grey finish.Geometric base design.Fully assembled.,Living Room Furniture,Coffee / Side / Accent Tables,Wood,248,7617-45,https://www.afw.com/reese-cocktail-table,"https://images.afw.com/images/thumbs/0153162_7617-45_7f517_100.jpeg,https://images.afw.com/images/thumbs/0153163_7617-45_e5f1b_100.jpeg,https://images.afw.com/images/thumbs/0153164_7617-45_e371a_100.jpeg",American Furniture Warehouse,Gray,afw.com,36,19,36
Gold Round Mosaic Table,Gold Round Mosaic Table by Cambridge Home.Multi-color mosaic top.Base constructed of gold metal.Perfect accessory for any room.Some assembly might be required.,Accents,Accent Furniture,Metal,18,9B2165,https://www.afw.com/gold-round-mosaic-table,"https://images.afw.com/images/thumbs/0152005_9B2165_7a777_100.jpeg,https://images.afw.com/images/thumbs/0129065_0129065_gold-round-mosaic-table.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0129066_0129066_gold-round-mosaic-table.jpeg_100.jpeg",American Furniture Warehouse,Gold,afw.com,15,18,15
Industrial Brown End Table,Industrial Brown End Table from Aspen Home. Constructed of select hardwood solids with Alder wood veneers. Brown finish. Features one drawer. Fully assembled.,Living Room Furniture,Coffee / Side / Accent Tables,Mixed Media,128,792E,https://www.afw.com/industrail-ghost-black-end-table,"https://images.afw.com/images/thumbs/0177487_792E.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177482_792S_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177486_792S_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177481_792S_5.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,24,24,24
Radilyn 3 Piece Occasional Table Set,Radilyn 3 Piece Occasional Table Set by Ashley Furniture.Set includes one cocktail table and two end tables.Thick tops made with polyurethane coated print gray travertine patterned paper.Table frame made with select veneers and hardwood solids finished in a gray brown finish.End table has magazine shelf.Cocktail table has casters for mobility.,Augmented Reality,Furniture,Wood,338,T568-13,https://www.afw.com/radilyn-occasional-table-set-3cn-d,"https://images.afw.com/images/thumbs/0100128_0100128_radilyn-3-piece-occasional-table-set.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0100129_0100129_radilyn-3-piece-occasional-table-set.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0100130_0100130_radilyn-3-piece-occasional-table-set.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0100131_0100131_radilyn-3-piece-occasional-table-set.jpeg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,48,19,24
Kinnshee End Table,Kinnshee End Table from Ashley Furniture.Constructed of mango wood solids.Clear nutmeg brown finish.Metal frame.Some assembly is required if not delivered by AFW.,Augmented Reality,Furniture,Wood,148,T827-6,https://www.afw.com/kinnshee-end-table,"https://images.afw.com/images/thumbs/0122588_kinnshee-end-table_100.jpeg,https://images.afw.com/images/thumbs/0122589_kinnshee-end-table_100.jpeg,https://images.afw.com/images/thumbs/0122590_kinnshee-end-table_100.jpeg,https://images.afw.com/images/thumbs/0122591_kinnshee-end-table_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,27.25,24.13,27.25
Industrial Brown Chairside Table,Industrial Brown Chairside Table from Aspen Home. Constructed of select hardwood solids with Alder wood veneers. Brown finish. Features one drawer and a wire mesh bottom shelf. Fully assembled.,Living Room Furniture,Coffee / Side / Accent Tables,Mixed Media,128,792CS,https://www.afw.com/industrail-ghost-black-chairside-table,"https://images.afw.com/images/thumbs/0177485_792CS.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177482_792S_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177486_792S_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177481_792S_5.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,18,24,22
Decker Cocktail Table,Decker Cocktail Table from Jofran. Constructed of solid handcarved mango wood. Black finish. Fully assembled.,Living Room Furniture,Coffee / Side / Accent Tables,,248,1730C,https://www.afw.com/decker-cocktail-table,"https://images.afw.com/images/thumbs/0155717_1730C.jpg_100.jpeg,https://images.afw.com/images/thumbs/0155716_1730C_1.jpg_100.jpeg",American Furniture Warehouse,Black,afw.com,36,16,36
Industrial Gray End Table,Industrial Gray End Table from Aspen Home. Constructed of select hardwood solids with Alder wood veneers. Gray finish. Features one drawer. Fully assembled.,Living Room Furniture,Coffee / Side / Accent Tables,Mixed Media,138,791E,https://www.afw.com/industrail-gray-end-table,"https://images.afw.com/images/thumbs/0177477_791E.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177473_791S_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177476_791S_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177474_791S_5.jpg_100.jpeg",American Furniture Warehouse,Gray,afw.com,24,24,24
Metal Accent Table,"Metal Accent Table by Cambridge Home.Black finish on base, white finish on top.Constructed of metal and wood veneer.Add modern design to any area of your home.",Living Room Furniture,Coffee / Side / Accent Tables,Wood,38,8B2028N,https://www.afw.com/white-metal-and-wood-accent-table,"https://images.afw.com/images/thumbs/0118823_white-metal-and-wood-accent-table_100.jpeg,https://images.afw.com/images/thumbs/0118824_8B2028N_1aa98_100.jpeg,https://images.afw.com/images/thumbs/0125342_8B2028N_60af6_100.jpeg,https://images.afw.com/images/thumbs/0125341_8B2028N_b34df_100.jpeg",American Furniture Warehouse,White,afw.com,16,28,16
Windham End Table,Windham End Table from Sunny Designs. Constructed of mahogany solids and veneers. Buckskin finish top with white wash base. Some assembly is required if not delivered by AFW.,Living Room Furniture,Coffee / Side / Accent Tables,,198,3170E,https://www.afw.com/windham-end-table,"https://images.afw.com/images/thumbs/0176645_3170E.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176639_SUNNY-3170-FAC.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176648_SUNNY-3170-ALT-FAC.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176646_3170E_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176647_3170CS_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176642_3170CS_2.jpg_100.jpeg",American Furniture Warehouse,Beige/Taupe,afw.com,22,24,26
Highland Sofa Bar,Highland Sofa Bar from Intercon. Constructed of solid pine with hand distressed details. Sandwash finish. Some assembly is required if not delivered by AFW.,Living Room Furniture,Coffee / Side / Accent Tables,,278,HI-6021,https://www.afw.com/highland-sofa-bar,"https://images.afw.com/images/thumbs/0176373_HI-6021.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176374_HI-60212HI65BS.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176372_HI-6021_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176375_HI-6021_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0176367_HI-5028_3.jpg_100.jpeg",American Furniture Warehouse,Beige/Taupe,afw.com,60,36,21
Round Mosaic Table,Round Mosaic Table by Cambridge Home.Multi-color mosaic top.Base constructed of black metal.Perfect accessory for any room.Some assembly might be required.,Accents,Accent Furniture,Metal,18,9B2167,https://www.afw.com/round-mosaic-table,"https://images.afw.com/images/thumbs/0152012_9B2167_63e77_100.jpeg,https://images.afw.com/images/thumbs/0129103_0129103_9B2167_54c0f.jpeg_100.jpeg,https://images.afw.com/images/thumbs/0129104_0129104_9B2167_000b2.jpeg_100.jpeg",American Furniture Warehouse,White,afw.com,19,18.5,19
"Ellwyn 1-Drawer Nightstand, Walnut *D","Convenient Nightstand with Drawer keeps essential items close byMade of laminated particleboard and available in many finishes to match any decorThe concealed drawer and open shelf provide plenty of storage options for reading materials, cell phone and glassesPair with the matching or complimentary 5 Drawer Dresser (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended to assemble. The top surface and cubby can each hold up to 50 lbs. The drawer can hold up to 20 lbs. Assembled dimensions: 24.13” H x 17.72” W x 15.67” D1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,89,1635214,https://www.afw.com/ellwyn-1-drawer-nightstand-walnut,"https://images.afw.com/images/thumbs/0172763_1635214COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172764_1635214COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172765_1635214COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172766_1635214COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172767_1635214COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172768_1635214COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172769_1635214COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172770_1635214COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172771_1635214COM_09.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,17.72,24.13,15.67
Urban Icon Chairside Table,"Modern and sleek design that complements any contemporary decor.Compact size perfect for small spaces or as an additional table next to your favorite armchair or sofa.Made with high-quality materials for durability and longevity.Two shelves provide additional storage and display space for books, magazines, or decorative items.Easy to clean and maintain with a damp cloth, making it perfect for busy households.Available in white finish, which gives it a clean, fresh and versatile look that blends well with a variety of interior styles.",Living Room Furniture,Coffee / Side / Accent Tables,,128,2000CS,https://www.afw.com/urban-icon-chairside-table,"https://images.afw.com/images/thumbs/0177147_2000CS.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177149_2000CS_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177148_2000CS_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0177150_2000CS_3.jpg_100.jpeg",American Furniture Warehouse,White,afw.com,24,24,16
"Ellwyn 1-Drawer Nightstand, Brown Oak *D","Convenient Nightstand with Drawer keeps essential items close byMade of laminated particleboard and available in many finishes to match any decorThe concealed drawer and open shelf provide plenty of storage options for reading materials, cell phone and glassesPair with the matching or complimentary 5 Drawer Dresser (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended to assemble. The top surface and cubby can each hold up to 50 lbs. The drawer can hold up to 20 lbs. Assembled dimensions: 24.13” H x 17.72” W x 15.67” D1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,89,1635301,https://www.afw.com/ellwyn-1-drawer-nightstand-brown-oak,"https://images.afw.com/images/thumbs/0172736_1635301COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172737_1635301COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172738_1635301COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172739_1635301COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172740_1635301COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172741_1635301COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172742_1635301COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172743_1635301COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172744_1635301COM_09.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,17.72,24.13,15.67
"Ellwyn 1-Drawer Nightstand, Sage *D","Convenient Nightstand with Drawer keeps essential items close byMade of laminated particleboard and available in many finishes to match any decorThe concealed drawer and open shelf provide plenty of storage options for reading materials, cell phone and glassesPair with the matching or complimentary 5 Drawer Dresser (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended to assemble. The top surface and cubby can each hold up to 50 lbs. The drawer can hold up to 20 lbs. Assembled dimensions: 24.13” H x 17.72” W x 15.67” D1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,89,1635318,https://www.afw.com/ellwyn-1-drawer-nightstand-sage,"https://images.afw.com/images/thumbs/0172754_1635318COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172755_1635318COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172756_1635318COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172757_1635318COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172758_1635318COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172759_1635318COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172760_1635318COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172761_1635318COM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172762_1635318COM_08.jpg_100.jpeg",American Furniture Warehouse,Green,afw.com,17.72,24.13,15.67
Bluemound Cocktail Table,Bluemound Cocktail Table from Ashley Furniture.Constructed of acacia wood solids and engineered wood.Earthly multi color wood tones.Metal frame and lid finished in a gunmetal gray color.Features hidden storage.Some assembly is required if not delivered by AFW.,Shop Great Deals 2023,Occasional Tables,Wood,198,T240-8,https://www.afw.com/bluemound-cocktail-table,"https://images.afw.com/images/thumbs/0121015_bluemound-cocktail-table_100.jpeg,https://images.afw.com/images/thumbs/0121016_bluemound-cocktail-table_100.jpeg,https://images.afw.com/images/thumbs/0121017_bluemound-cocktail-table_100.jpeg,https://images.afw.com/images/thumbs/0121018_bluemound-cocktail-table_100.jpeg,https://images.afw.com/images/thumbs/0121019_bluemound-cocktail-table_100.jpeg",American Furniture Warehouse,Multi-Color Fabric/Material,afw.com,34.5,19,34.5
"Farmington Nightstand, Weathered Oak *D","This Farmington Nightstand features a beautiful rustic style for a country themed bedroomMade of laminated particleboard and MDF, the weathered brown with gray undertones finish was influenced by aged barn wood and has a textured layer to emulate the look and feel of real woodThe nightstand offers one drawer for concealed storage and an open cubby for storage for books or decorating accessoriesComplete your bedroom with other beautiful Farmington pieces (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended for assembly. Top surface and cubby can each hold 40 lbs. The drawer will hold up to 15 lbs. Assembled dimensions: 24.41”H x 17.80”W x 17”DAmeriwood Home warrants this product to be free from defects and agrees to remedy any such defect. This warranty covers one year from the date of original purchaseWith over 30 years' experience in RTA furniture, Ameriwood Home offers a wide range of home furniture products for every room of the houseAcquired by Dorel Industries in 1978, Ameriwood Home has become a leader of RTA furniture growing in Bedroom, Home Office, Entertainment, Storage and Youth products",Bedroom Furniture,Nightstands,,149,5683213,https://www.afw.com/farmington-nightstand-weathered-oak,"https://images.afw.com/images/thumbs/0172842_5683213COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172843_5683213COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172844_5683213COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172845_5683213COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172846_5683213COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172847_5683213COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172848_5683213COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172849_5683213COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172850_5683213COM_09.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,17.8,24.41,17
Chatham Round Chairside Table,Chatham Chairside Table from .Constructed of rubberwood solids with knotty oak veneers in a rich charcoal and brown color.Features wire-brushed distressing.Some assembly required if not delivered by AFW.,Living Room Furniture,Coffee / Side / Accent Tables,Wood,118,7581-41,https://www.afw.com/chatham-round-chairside-table,"https://images.afw.com/images/thumbs/0153139_7581-41_86c86_100.jpeg,https://images.afw.com/images/thumbs/0153140_7581-41_b3998_100.jpeg",American Furniture Warehouse,Dark Wood,afw.com,23.5,24,23.5
"Mya Park Nightstand with 2 Fabric Bins, White *D","Liven up your child’s bedroom or playroom with the vibrant Mya Park Collection from Ameriwood HomeFeaturing neutral engineered wood frames with colorful fabric bin drawers2 Fabric Bins offer plenty of storage for nighttime bedside essentialsLightweight construction and soft fabric bins are the perfect combination for a child’s bedroom or nurseryKeep your child’s favorite bedtime story books and other décor on the two open shelvesMix and match with the entire collection. (each sold separately)The Nightstand ships flat in one box and requires assembly. Two adults are recommended to assemble. Once assembled, the Nightstand measures to be 23.70“ W x 14.69“ D x 20.31“ HInterior Open Shelf Storage dimensions: 6.22 in. (15.8 cm) W x 8.03 in. (20.4 cm) H x 14.21 in.(36.1 cm) D. 0.41 cubic feet each shelf. Interior Bin Storage dimensions: 14.88 in. (37.8 cm) W x 8.03 in. (20.4 cm) H x 14.21 in. (36.1 cm) D. 0.98 cubic feet each binMax weight capacities: Top: 40 lbs. Open Shelves: 10 lbs. each. Bins: 10 lbs. each. Unit Weight: 32 lbs.",Bedroom Furniture,Nightstands,,119,1362811,https://www.afw.com/mya-park-nightstand-with-2-fabric-bins-white-3,"https://images.afw.com/images/thumbs/0173121_1362811COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173122_1362811COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173123_1362811COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173124_1362811COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173125_1362811COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0173126_1362811COM_07.jpg_100.jpeg",American Furniture Warehouse,White,afw.com,23.7,20.31,14.69
"Augusta 2-Drawer Nightstand, Ivory Oak *D","Create a rustic farmhouse oasis with the Ameriwood Home Augusta NightstandConstructed from engineered wood and particle boardEngineered with the new SwitchLock™ Assembly System and preassembled drawer slides to cut assembly time in half2 spacious drawers for bedside belongingsAssembled measurements: 27.7""W x 15.7""D x 24.4""HDrawer measurements: 23.3"" W x 6.6"" H x 14.4"" DMaximum weight capacities: Top: 40 lbs. Drawers: 25 lbs. each1-Year Limited Warranty Included",Bedroom Furniture,Nightstands,,209,3391341,https://www.afw.com/augusta-2-drawer-nightstand-ivory-oak,"https://images.afw.com/images/thumbs/0172236_3391341COM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172237_3391341COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172238_3391341COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172239_3391341COM_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172240_3391341COM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172241_3391341COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172242_3391341COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172243_3391341COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172244_3391341COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172245_3391341COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172246_3391341COM_15.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172247_3391341COM_12.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172248_3391341COM_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172249_3391341COM_13.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172250_3391341COM_14.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172251_3391341COM_16.jpg_100.jpeg",American Furniture Warehouse,White,afw.com,27.68,24.45,15.67
"Bristol Nightstand, White *D","Finish your bedroom or guest room with the elegant Ameriwood Home Bristol NightstandThe classic white painted finish on the MDF and particleboard offers a clean, updated look that won’t break the budgetThe top surface and lower open cubby will give you easy access to all of your nighttime essentials. The convenient drawer can store away smaller items to keep your Nightstand tidyComplete your room with the entire Bristol collection for a coordinated look (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended to assemble. The top surface and lower cubby can each hold 40 lbs. while the drawer can hold up to 15 lbs. Assembled dimensions: 25.9”H x 23.7”W x 16.4”DAmeriwood Home warrants this product to be free from defects and agrees to remedy any such defect. This warranty covers one year from the date of original purchaseWith over 30 years' experience in RTA furniture, Ameriwood Home offers a wide range of home furniture products for every room of the houseAcquired by Dorel Industries in 1978, Ameriwood Home has become a leader of RTA furniture growing in Bedroom, Home Office, Entertainment, Storage and Youth products",Bedroom Furniture,Nightstands,,199,3339013,https://www.afw.com/bristol-nightstand-white,"https://images.afw.com/images/thumbs/0172409_3339013COM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172410_3339013COM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172411_3339013COM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172412_3339013COM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172413_3339013COM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172414_3339013COM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172415_3339013COM_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172416_3339013COM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172417_3339013COM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172418_3339013COM_05.jpg_100.jpeg",American Furniture Warehouse,White,afw.com,23.7,25.9,16.4
"Farmington Nightstand, Rustic *D","This Farmington Nightstand features a beautiful rustic style for a country themed bedroomMade of laminated particleboard and MDF, the weathered medium brown finish was influenced by aged barn wood and has a textured layer to emulate the look and feel of real woodThe nightstand offers one drawer for concealed storage and an open cubby for storage for books or decorating accessoriesComplete your bedroom with other beautiful Farmington pieces (each sold separately)The Nightstand ships flat to your door and 2 adults are recommended for assembly. Top surface and cubby can each hold 40 lbs. The drawer will hold up to 15 lbs. Assembled dimensions: 24.4375”H x 17.8125”W x 17”DAmeriwood Home warrants this product to be free from defects and agrees to remedy any such defect. This warranty covers one year from the date of original purchaseWith over 30 years' experience in RTA furniture, Ameriwood Home offers a wide range of home furniture products for every room of the houseAcquired by Dorel Industries in 1978, Ameriwood Home has become a leader of RTA furniture growing in Bedroom, Home Office, Entertainment, Storage and Youth products",Bedroom Furniture,Nightstands,,149,5683215P,https://www.afw.com/farmington-nightstand-rustic,"https://images.afw.com/images/thumbs/0172827_5683215PCOM_06.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172828_5683215PCOM_12.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172829_5683215PCOM_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172830_5683215PCOM_08.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172831_5683215PCOM_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172832_5683215PCOM_02.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172833_5683215PCOM_09.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172834_5683215PCOM_04.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172835_5683215PCOM_05.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172836_5683215PCOM_07.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172837_5683215PCOM_03.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172838_5683215PCOM_01.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172839_5683215PCOM_14.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172840_5683215PCOM_15.jpg_100.jpeg,https://images.afw.com/images/thumbs/0172841_5683215PCOM_16.jpg_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,17.81,24.44,17
